,reviews_classified_all
336,o aplicativo em si e excelente e o atendimento tambem as funcionalidades sao otimas porem vou parar de usar sao 2 anos usando r50 de limite e nunca aumentam e nesses 2 anos nunca deixei de pagar esse valor e como sempre faco movimentacoes eu envio e recebo pagamentos pago minhas contas por la e ainda deixo dinheiro guardado esse mes vou pagar a fatura e vou fechar a conta outros bancos que tenho 2 meses de uso ja me deram um limite e a nubank com 2 anos de uso nunca aumentou os r5000
337,muito otimo gostei muito
338,otima
339,excelente banco
340,muito bom e facil de entender bem organizado e facil parabens para os projetores
341,melhor bancoque ja tive
342,otimo
343,otimo
344,muito bom o aplicativo seria melhor se tivesse a opcao de transferir para conta bancaria por exemplo caixa se tem a funcao eu nao achei sem uma opcao como essa a gente ainda se sente muito limitadoa por isso dei 3 estrelas mas o aplicativo ainda e bom
345,melhor banco que ja vi em minha vida
346,ele e um banco bom pra negativado bom pra guardar dinheiro fazer pix pegar emprestimo so nao libera limite no cartao de credito nao importa quanto você usa eles nao aumenta o limite
347,nao consigo acessa o aplicativo a 2 dias aparece uma mensagem pra tentar mais tarde e nada
348,adoreii o aplicativo e muito bom e facil de mexer
349,o cartao nubank e maravilhoso e simplis e descomplicado da pra compriender e resolver tudo no aplicativo
350,infelizmente 5000 de limite vergonha alheia eu sinto de vocessou cliente ha 2 anos com miseros 5000 de credito num cartao isso e inaceitavelsinto vergonha pelo bancoso vou pedir aumento mais uma vezse nao aumentarem to caindo fora banco original na abertura de conta me deu40000 de cheque especial40000 de cartao de creditoe 40000 de cartao virtual isso e uma vergonha pra vocesnao vou me sujar por miseria
351,nao estou conseguindo acessar minha conta corrente para nada
352,e bom cartao nao posso reclamar
353,otimo
354,otima experiencia
355,o limite e baixo deveria o limite ser maior
356,e excelente
357,parabens pelo aplicativo maravilhoso so nao gostei que mesmo meu cpf nao sendo a chave pix quando mando ele pra tranferir pra outra conta sempre aparece a do nubank
358,otimo banco
359,ate agora o melhor aplicativo sem duvidas qualquer problema com o cartao ou conta sempre rapido de resolver
360,nao recebi nenhum limite so a conta mesmo nn consigo usar o credito desapontante
361,eu queria saber por que eu preciso por dinheiro para liberar limite um roubo isso
362,ta com mais de 3 dias que eu me cadastrei e ainda nao verificou que eu posso ou nao usar a conta espero que recompensam esse atraso
363,nubank tem ajudando muito eu meu marido tem cartao ja viajamos e usamos nubank
364,o melhor de todos os aplicativo de conta
365,otimo p pagar as conta receber meu dinheiro das minhas venda
366,muito bom o banco sem enrolacao simples pratico e rapido e ainda o limite do cartao vai aumentando conforme o uso sem ficar estagnado
367,melhor aplicativo que eu ja vi na minha vida
368,pois ja tenho o cartao so quero recuperar minha conta no aplicativo novamente coloco minha cenha e nao estao aceitando meu celular deu becalt e apagou foi tudo bem agora nao estou conseguindo entrar no aplicativo novamente coloco minha cenha e nao consigo desbloquear o meu cartao por favor quero solucao por meu problema
369,so uso para fazer receber e movimentar dinheiro porque se depender de creditos com este banco vcs pode tirar o cavalinho da chuva agora o mercado pago me deu 1300 reais em credito sem eu ter um centavo na conta
370,gostei do aplicativo mais nao consigo mais entra na minha conta porque eu perdi meu gmail
371,na terceira tentativa fui aprovado gosto muito de usar o nubank sem duvidas e o melhor banco
372,banco virtual serio e pratico voce domina seu dinheiro livre de taxas amo e super indico pra varios amigos super recomendo cheio de seios satisfeitos
373,o aplicativo me deixou o dia inteiro sem poder acessar minha conta muitas instabilidades o que traz desconforto para os usuarios
374,excelente bonco
375,aplicativo sem burocracia muito facil de mecher o banco e de confianca com juros baixo
376,show de bola muito bom alem do mais tem formas de investimento eo lucro e melhor do que de certos bancos
377,melhor banco
378,nao consigo mais ver meu cartao digital toda vez que tento consultar da falha preciso muito do meu cartao digital
379,e mais facil ser abduzido por um ovni do que o nubank aumentar o limite tenho o cartao a quase 3 anos pagando tudo certinho nome limpo score alto e etc e o limite nao passa dos 65000 parece que esse banco nao confia nos clientes
380,otimo
381,o plicativo esta pessimo abrir uma conta ta com mais de quarto dias que esta em analise e a nubank nao era assim
382,gente ta muito ruim ter conta no nubank o mais engracado e que eles liberam um enorme emprestimo pra quem nao paga direito pra eles e pra quem paga certinho eles nao liberam a minha mae paga tudo direitinho as contas e eles sempre falam que tem que pagar as contas direitinho pra poder pegar emprestimo mais eles nao dar emprestimo nao gostei muito burocracia
383,muito bom otimo banco
384,banco maravilhoso mas depois da ultima atualizacao toda hora pede para atualizar o aplicativo se nao atualizar nao consigo entrar muito chato isso ja fiquei na mao por conta disso na rua
385,excelente banco e aplicativo
386,esta de parabens aplicativo top e atendimento excelente
387,excelente
388,o aplicativo e otimo mas meu cartao nao chegou e agora
389,nao esta sendo tao bom desde que fiz o cartao nao tive credito nele eu que teria que fazer o meu limite e agora que aumentaram pra 50 reais so isso nao da pra nada preciso que aumente mais nele
390,o melhor aplicativo de todos os bancos virtuais e tradicionais sem duvida compras no cartao de credito dispostas na hora no aplicativo pgto de fatura antecipado libera o limite na hora dentre outras parabens equipe nubank melhor experiencia impossivel saude e sucesso a todos
391,otimo para investir
392,otimo
393,aplicativo muito bom e conta nubank sem duvida nenhuma e uma das melhores conta
394,eu ainda nao sou criente mas pretendo ser eu dei cinco estrela porque tem uns amigos meus que e criente e aprova a qualidade do cartao de credito como eu posso adiquirir este cartao o que devo fazer
395,eu cadrastei mais fica dizendo que aguarde em 1 hora e depois abrimos a conta mais nunca abre eu fiquei 2 horas esperando e nada
396,porque demora tanto a aumentar o limite
397,gosteiiii pena que nao me dao mais limite
398,banco simples sem taxas e sem frescuras e o aplicativo facil e pratico
399,otimo
400,amo esse cartao muito otimo atendimento rapido tudo certinho muito otimo
401,otimo aplicativo nao posso reclamar de nada ate entao
402,otima
403,melhor banco digital
404,infelizmente depois da ultima atualizacao o aplicativo trava direto na entrada e as vezes nao abre de jeito nenhum muito constrangedor na hora do pix
405,otimo
406,jesus mim abencoe sempre e navegue meu cartao nubank de credito estou precisando muito para comprar meus remedio
407,otimo
408,para mim o melhor ate o momento tudo muito facil de mexer atendimento realmente e rapido aplicativo super fluido e nunca me apresentou falhas sistema de antecipacao de faturas e credito e o melhor de todos disparado e a cada atualizacao uma coisa nova e realmente util estou super feliz com este banco super recomendo so falta 1 coisa saque gratuito na rede 24 horas pelo menos uns 4 vai nubank rsrs
409,facilidade
410,otimo
411,otimo
412,excelente rendimento muito bom e recomendo para todos
413,eu tenho esse cartao de debito e e otimo e facil de lidar estou amando
414,top o melhor
415,muito bom o cartao
416,excelente experiencias
417,o cartao e bom mas o que deixa a desejar e a opcao de limites que demora bastante pra aumentar fico um pouco decepcionada porque tenho que usar outros cartoes porque o limite do nubank e muito pouco
418,estou gostandoso falta ganhar limite que nunca ganhei nada
419,aplicativo de facil manuseio recomendo
420,achei o aplicativo otimo e seguro
421,veio sem credito
422,otimo aplicativo
423,so vive pedindo atualizacao ii o limite que é bom nao aumenta deixou a desejar
424,nas atualizacoes passadas quando eu iniciava o nubank nao precisava clikar em em desbloquear com a senha pra usar a digital quando entrava ja colocava a digital ja desbloqueava agora tenho que clikar em desbloquear com o pin pra usar a digital ses tao de brincadeira ne nubank
425,otimo parabens
426,nubank tem se tornado um dos melhores bancos digitais
427,o melhor e mais completo super indico
428,otimo perfeito
429,nao gostei porque o meu e so cartao de debito queria de credito e nao tem a opcao de colocar pra credito
430,movimento 15 mil por mes no banco e tenho um limite no cartao de credito de 400 reais nuca sobe fora que tenho investimento na bolsa de valores do proprio banco que so desvaloriza
431,ja tem um tempo que eu tenho conta aberta recebo meu pagamento no banco nubank meu cartao nunca paguei atrasado sempre pago antes da data de vencimento fiz dois emprestimos e quitei antes do prazo porem meu cartao de credito nunca teve um aumento de limite sinto muito mais sou mais um cliente que voces vao perder pois vou solicitar a portabilidade de salario e resgatar o valor da conta e fechar tenho opcoes melhores
432,eu nao consigo abrir uma conta com vcs da nubank
433,melhor carteira digital
434,bom aplicativo varias funcoes que me permitem fazer varias coisas me concederam um cartao de credito com um bom limite inicial o que nao consegui em nenhuma outra instituicao financeira recomendo sim
435,melhor banco virtual do momento
436,aplicativo muito ruim movimento minha conta todo mes nunca consigo a liberacao de credito ou emprestimo vou parar de usar esse banco
437,gosto muito do geito desse banco espero que nao mude fique assim pra sempre
438,banco muito bom pratico pena que a inclusao ao samsung pay levou muito tempo o que me levou a pesquisar outros bancos estes oferecem beneficios melhores hoje em dia mantenho o nu ativo somente para emergencia
439,otimo
440,nubank e um otimo banco porem limite de 200 reais para quem usa diariamente a conta antecipa fatura usa mais de 3 mil por mes ter um limite de 200 reais e ate uma vergonha peco aumento e nunca tenho mais de ano nisso vamos valorizar os clientes ne nubank
441,agora minha conta bloqueou e nao consigo usar mais aplicativo ruim baixei o banco inter esse sim me ajudou ja de cara me liberou 1000 reais de credito agora to satisfeito
442,otimo
443,cartao muito bom mesmo
444,depois da atualizacao esta horrivel diz que estou sem internet e nao deixa eu acertar minha conta quando liberar meu acesso vou trocar de banco pois me prejudicou muito esse erro
445,e bem mais facil que o ita vcs arrasam povo
446,o melhor banco que eu ja conheci super indico
447,otimo banco sem tarifas sofaltou meu cartao de credito
448,otimo
449,pessimo um banco que da ate disgosto você leva seu salario pra ele e mesmo assim ele nao te libera nada nem credito nem emprestimo flustrada mesmo com este banconota 0
450,muito bom mais pra que possamos usar mais precisa aumentar o limite
451,um excelente banco mais so nao e bom o limite do cartao de credito 5000 por isso nao darei 5 estrelas
452,otimo
453,meu cartao nunca chegou
454,tem que trabalhar muito para obter limite com o nubank e mesmo movimento bastante nao mudou nada
455,muito bomnao troco de conta por nada nubank e o melhor
456,depois da ultima atualizacao nao consegui mais entrar no aplicativo guando pede pra colocar a senha do desbloqueio do celular pra entrar no aplicativo simplesmente nao entra nem com o suporte que infelizmente nao conseguiu fazer nada o pior e que o meu pagamento vem justamente atraves do nubank lamentavel
457,otimo
458,aplicativo bom mais o meu cartao nao aumenta
459,por enquanto continuo dando 3 estrelas ja cansei de pedir credito maior do que 200 reais cancelei o cartao da caixa economica que era de 600 reais que ja era pouco me arrependi disso se continuar assim vou descredenciar desse aplicativo olha isso ai nubank
460,nao estou conseguindo entrar no aplicativo como que vou pagar minhas contas ja fiz de tudo e nao consigo
461,otimo
462,gostei muito do banco nubank vcs tao de parabens otimo atendimento
463,sou cliente a um bom tempo mas nao adianta ser com esse banco ja depositei e tranferi muito dinheiro na conta da nubank e ate hoje nunca me liberam limite de credito pior a nubank tem que levar processo mesmo de clientes vou desistir da nubank porque outros banco estao melhores
464,excelentenao tenho que reclamar melhor aplicativo
